,Pe,Tg,Cr,Ff,La,Sl,Av,Lc,Em
Aec_dis,15,21,1,0,0,0,0,0,0
Aec_gam,18,95,6,0,0,2,0,0,0
Aec_nud,1,6,15,0,0,0,0,0,0
Aec_org,12,24,0,0,0,0,0,0,0
Aec_van,95,132,0,0,0,0,0,0,0
Als_ino,30,0,0,0,2,18,0,0,0
Aph_col,18,0,0,0,0,0,0,0,0
Aph_lon,31,0,0,0,0,0,0,0,0
Bes_lon,9,19,0,0,0,0,0,0,0
Bil_amo,36,0,0,0,0,0,0,0,0
Cal_ruf,1,22,60,0,0,0,0,0,0
Can_pan,65,0,0,0,0,0,0,0,0
Can_per,14,68,18,1,0,0,0,0,0
Cen_cor,23,0,0,0,0,0,0,0,0
Edm_lin,53,26,0,0,0,0,0,0,0
Ery_spe,107,137,95,0,0,0,1,5,1
Fuc_reg,6,5,15,0,0,0,0,0,0
Ing_ses,44,32,198,41,23,0,8,2,0
Jus_sp1,7,0,0,0,0,0,0,0,0
Jus_sp2,5,0,0,0,0,0,0,0,0
Lan_cam,1,0,0,0,0,26,0,0,0
Mac_rub,6,33,2,0,1,6,30,0,0
Man_cor,50,0,0,0,0,0,0,0,0
Men_sp,2,0,14,0,0,0,16,0,0
Mut_spe,62,0,0,0,14,0,0,0,0
Nem_flu,22,0,0,0,0,0,0,0,0
Nem_fri,36,0,0,0,0,0,0,0,0
Nem_gre,4,18,0,0,0,0,0,0,0
Nem_mac,15,0,0,0,0,0,0,0,0
Nem_ser,5,1,4,0,0,0,0,0,0
Nid_ino,36,0,2,0,0,0,0,0,0
Nid_lon,11,0,0,0,0,0,0,0,0
Nid_pro,31,0,0,0,0,0,0,0,0
Nid_rut,20,0,1,0,0,0,0,0,0
Psi_dic,1,1,53,1,10,0,1,0,0
Psy_lei,0,2,0,0,0,0,1,0,0
Pyr_ven,17,1,0,0,1,0,0,0,0
Sin_coo,35,0,0,0,0,0,0,0,0
Sin_ela,7,0,0,0,9,0,0,0,0
Sin_gla,4,0,0,0,0,0,0,0,0
Sip_con,22,1,0,0,0,0,0,0,0
Sip_lau,4,0,0,0,0,0,0,0,0
Sip_lon,7,0,0,0,0,0,0,0,0
Spi_riv,0,74,102,4,0,0,0,5,0
Til_dur,1,0,0,0,0,0,0,0,0
Til_gem,2,12,2,0,1,1,0,0,0
Til_sp,2,4,1,0,0,0,0,0,0
Til_str,1,3,1,0,0,1,0,0,0
Vri_car,16,0,0,0,0,0,0,0,0
Vri_ery,17,0,0,0,0,0,0,0,0
Vri_inc,22,0,0,0,0,0,0,0,0
Vri_inf,9,0,0,0,0,0,0,0,0
Vri_sim,24,0,0,0,0,0,0,0,0
Vri_sp,20,0,0,0,0,0,0,0,0
Wit_sup,55,77,0,0,0,0,0,0,0
,,,,,,,,,