Order,Taxa,,Degree,Size,SizeType,Mass,lnMass,Code,Bluthgen,,Rank1,Rank2,Spearman,RankDegree,RanklnMass,Spearman,Pearson,
Hymenoptera,Dialictus.imitatus,Dialictus.imitatus.bfi,1,4.18,BL,3.76884539,1.326768692,bfi,0.653347383,bfi,8,18,0.381643947,114,173,0.153804777,0.310649243,0.321263838
Hymenoptera,Dialictus.oblongus,Dialictus.oblongus.bfi,1,5.75,BL,6.198051205,1.824234921,bfi,0.653347383,bwk,8,13,0.2286888,114,147,0.153804777,0.218617477,0.222203731
Hymenoptera,Dialictus.obscurus,Dialictus.obscurus.bfi,1,6,BL,6.623526416,1.890627919,bfi,0.198034427,cer,8,11,-0.472877607,114,140,0.153804777,-0.442477676,-0.475307489
Hymenoptera,Dialictus.zephyrus,Dialictus.zephyrus.bfi,1,6,BL,6.623526416,1.890627919,bfi,0.653347383,gsv,8,11,,114,140,0.153804777,-0.164030648,-0.165526003
Hymenoptera,Dialictus.coeruleus,Dialictus.coeruleus.bfi,1,7,BL,8.424153361,2.13110298,bfi,0.198034427,hnk,8,7,,114,111,0.153804777,0.31595711,0.32714945
Hymenoptera,Andrena.sp,Andrena.sp.bfi,1,8,BL,10.3751337,2.339411953,bfi,0.198034427,nca,8,5,,114,85,0.153804777,-0.289012157,-0.297488051
Hymenoptera,Lasioglossum.forbesii,Lasioglossum.forbesii.bfi,1,8.5,BL,11.40425307,2.433986362,bfi,0.198034427,otw,8,3,,114,69,0.153804777,0.270556391,0.277464061
Hymenoptera,Nomada.luteola,Nomada.luteola.bfi,1,11.25,BL,17.65920943,2.871257428,bfi,0.198034427,ppc,8,1,,114,35,0.153804777,0.170817631,0.172508748
Hymenoptera,Halictus.confusus,Halictus.confusus.bfi,1,1.4,ITD,4.489337823,1.501705213,bfi,0.722526382,pqn,8,17,,114,166,0.153804777,-0.615979399,-0.718500146
Hymenoptera,Augochlora.pura,Augochlora.pura.bfi,1,1.595,ITD,5.114638448,1.632106712,bfi,0.653347383,snk,8,16,,114,161,0.153804777,0.381667752,0.402010317
Hymenoptera,Andrena.miserabilis,Andrena.miserabilis.bfi,2,1.698214286,ITD,5.445612589,1.694810255,bfi,0.414983605,,6,15,,86,159,0.153804777,,
Hymenoptera,Andrena.cressonii,Andrena.cressonii.bfi,2,1.75,ITD,5.611672278,1.724848764,bfi,0.414983605,,6,14,,86,156,0.153804777,0.147609659,
Hymenoptera,Andrena.forbesii,Andrena.forbesii.bfi,3,2.0995,ITD,6.732403399,1.906932197,bfi,0.536003265,,4,10,,69,139,0.153804777,,
Hymenoptera,Andrena.erythronii,Andrena.erythronii.bfi,1,2.29775,ITD,7.368125701,1.997163359,bfi,0.792665681,,8,9,,114,133,0.153804777,,
Hymenoptera,Andrena.rugosa,Andrena.rugosa.bfi,3,2.3,ITD,7.375340709,1.998142099,bfi,0.512002125,,4,8,,69,132,0.153804777,,
Hymenoptera,Andrena.carlini,Andrena.carlini.bfi,4,2.696428571,ITD,8.646556264,2.157161122,bfi,0.575968972,,2,6,,57,107,0.153804777,,
Hymenoptera,Apis.mellifera,Apis.mellifera.bfi,6,3.3,ITD,10.58201058,2.359155444,bfi,0.68279729,,1,4,,31,77,0.153804777,,
Hymenoptera,Bombus.griseocollis,Bombus.griseocollis.bfi,4,4.342857143,ITD,13.92610916,2.633765435,bfi,0.698960164,,2,2,,57,51,0.153804777,,
Diptera,Temnostoma.balyras,Temnostoma.balyras.bwk,1,10,BL,0.126082723,-2.070817056,bwk,0.522534037,,13,30,,114,189,0.153804777,,
Diptera,Blera.badia,Blera.badia.bwk,1,10.5,BL,0.140780789,-1.960551286,bwk,0.407768856,,13,29,,114,188,0.153804777,,
Diptera,Blera.confusa,Blera.confusa.bwk,1,11.5,BL,0.172915012,-1.754955065,bwk,0.639977096,,13,28,,114,185,0.153804777,,
Diptera,Temnostoma.barberi,Temnostoma.barberi.bwk,1,11.75,BL,0.18152697,-1.706351041,bwk,0.478430663,,13,27,,114,184,0.153804777,,
Diptera,Bombylius.major,Bombylius.major.bwk,2,16,BL,0.364726015,-1.008608851,bwk,0.556904675,,4,26,,86,179,0.153804777,,
Hymenoptera,Dialictus.imitatus,Dialictus.imitatus.bwk,2,4.18,BL,3.76884539,1.326768692,bwk,0.565773552,,4,24,,86,173,0.153804777,,
Hymenoptera,Hylaeus.ellipticus,Hylaeus.ellipticus.bwk,1,5,BL,4.983867972,1.606206291,bwk,0.757286858,,13,21,,114,163,0.153804777,,
Hymenoptera,Dialictus.cressonii,Dialictus.cressonii.bwk,4,6.5,BL,7.504437734,2.015494543,bwk,0.590742161,,2,16,,57,130,0.153804777,,
Hymenoptera,Nomada.sayi,Nomada.sayi.bwk,1,6.75,BL,7.959526037,2.074369455,bwk,0.407768856,,13,15,,114,122,0.153804777,,
Hymenoptera,Evylaeus.divergens,Evylaeus.divergens.bwk,2,7,BL,8.424153361,2.13110298,bwk,0.436529701,,4,11,,86,111,0.153804777,,
Hymenoptera,Osmia.proxima,Osmia.proxima.bwk,2,8,BL,10.3751337,2.339411953,bwk,0.50659758,,4,6,,86,85,0.153804777,,
Hymenoptera,Hylaeus.basalis,Hylaeus.basalis.bwk,1,8.5,BL,11.40425307,2.433986362,bwk,0.407768856,,13,4,,114,69,0.153804777,,
Hymenoptera,Nomada.cuneata,Nomada.cuneata.bwk,1,9.5,BL,13.56507335,2.607498353,bwk,0.485916449,,13,2,,114,55,0.153804777,,
Hymenoptera,Sphecodes.sp,Sphecodes.sp.bwk,1,9.75,BL,14.12604296,2.648020112,bwk,0.478430663,,13,1,,114,50,0.153804777,,
Hymenoptera,Andrena.melanochroa,Andrena.melanochroa.bwk,1,1.125,ITD,3.607503608,1.283016012,bwk,0.522534037,,13,25,,114,175,0.153804777,,
Hymenoptera,Hoplitis.producta,Hoplitis.producta.bwk,1,1.2375,ITD,3.968253968,1.378326191,bwk,0.839584274,,13,23,,114,172,0.153804777,,
Hymenoptera,Halictus.confusus,Halictus.confusus.bwk,1,1.4,ITD,4.489337823,1.501705213,bwk,0.407768856,,13,22,,114,166,0.153804777,,
Hymenoptera,Osmia.pumila,Osmia.pumila.bwk,1,1.614444444,ITD,5.176990361,1.644223876,bwk,0.582160877,,13,20,,114,160,0.153804777,,
Hymenoptera,Halictus.rubicundus,Halictus.rubicundus.bwk,2,1.75,ITD,5.611672278,1.724848764,bwk,0.491242693,,4,19,,86,156,0.153804777,,
Hymenoptera,Andrena.miranda,Andrena.miranda.bwk,2,2.0375,ITD,6.533589867,1.876956542,bwk,0.473663461,,4,18,,86,144,0.153804777,,
Hymenoptera,Andrena.wilkella,Andrena.wilkella.bwk,1,2.15,ITD,6.894340228,1.930700818,bwk,0.632249955,,13,17,,114,136,0.153804777,,
Hymenoptera,Andrena.thaspii,Andrena.thaspii.bwk,1,2.5625,ITD,8.21709155,2.10621632,bwk,0.407768856,,13,14,,114,121,0.153804777,,
Hymenoptera,Andrena.rufosignata,Andrena.rufosignata.bwk,1,2.566666667,ITD,8.230452676,2.107841016,bwk,0.478430663,,13,13,,114,120,0.153804777,,
Hymenoptera,Andrena.nivalis,Andrena.nivalis.bwk,2,2.62108,ITD,8.404938272,2.128819423,bwk,0.436529701,,4,12,,86,116,0.153804777,,
Hymenoptera,Andrena.sigmundi,Andrena.sigmundi.bwk,1,2.7375,ITD,8.778258778,2.172278071,bwk,0.407768856,,13,10,,114,106,0.153804777,,
Hymenoptera,Bombus.ternarius,Bombus.ternarius.bwk,2,2.8625,ITD,9.179092512,2.216928345,bwk,0.600553426,,4,9,,86,100,0.153804777,,
Hymenoptera,Bombus.vagans,Bombus.vagans.bwk,8,3.115833333,ITD,9.991448879,2.301729615,bwk,0.673834397,,1,8,,20,95,0.153804777,,
Hymenoptera,Bombus.terricola,Bombus.terricola.bwk,4,3.1875,ITD,10.22126022,2.324469886,bwk,0.600249189,,2,7,,57,93,0.153804777,,
Hymenoptera,Osmia.lignaria,Osmia.lignaria.bwk,1,3.4,ITD,10.90267757,2.389008408,bwk,0.632249955,,13,5,,114,73,0.153804777,,
Hymenoptera,Bombus.perplexus,Bombus.perplexus.bwk,2,3.668823529,ITD,11.76470588,2.465104022,bwk,0.560460586,,4,3,,86,67,0.153804777,,
Hymenoptera,Arhysoceble.sp,Arhysoceble.sp.cer,1,7,BL,8.424153361,2.13110298,cer,0.813763109,,10,12,,114,111,0.153804777,,
Hymenoptera,Ceratina.sp,Ceratina.sp.cer,21,7.35,BL,9.090370224,2.207215636,cer,0.75932562,,2,11,,4,101,0.153804777,,
Hymenoptera,Lasioglossum.sp,Lasioglossum.sp.cer,1,7.5,BL,9.381426773,2.238731859,cer,0.686636654,,10,10,,114,98,0.153804777,,
Hymenoptera,Exomalopsis.sp,Exomalopsis.sp.cer,8,8,BL,10.3751337,2.339411953,cer,0.711807207,,5,9,,20,85,0.153804777,,
Hymenoptera,Augochloropsis.sp,Augochloropsis.sp.cer,11,9,BL,12.46785196,2.523153488,cer,0.649286834,,4,7,,12,60,0.153804777,,
Hymenoptera,Rhinocorynura.sp,Rhinocorynura.sp.cer,2,9.5,BL,13.56507335,2.607498353,cer,0.659121986,,9,6,,86,55,0.153804777,,
Hymenoptera,Monoeca.sp,Monoeca.sp.cer,5,10,BL,14.69512627,2.687515893,cer,0.756125592,,7,5,,41,48,0.153804777,,
Hymenoptera,Colletes.sp,Colletes.sp.cer,1,11.5,BL,18.2751922,2.905544523,cer,0.536289491,,10,4,,114,32,0.153804777,,
Hymenoptera,Coelioxys.sp,Coelioxys.sp.cer,1,13.5,BL,23.46896844,3.155679057,cer,0.6026345,,10,3,,114,17,0.153804777,,
Hymenoptera,Euglossa.sp,Euglossa.sp.cer,3,14,BL,24.83893996,3.212412581,cer,0.713600584,,8,2,,69,16,0.153804777,,
Hymenoptera,Megachile.sp,Megachile.sp.cer,1,22,BL,50.27507235,3.917509375,cer,0.659282811,,10,1,,114,1,0.153804777,,
Hymenoptera,Trigona.spinipes,Trigona.spinipes.cer,14,1.8,ITD,5.772005772,1.753019641,cer,0.762024448,,3,14,,7,154,0.153804777,,
Hymenoptera,Tetrapedia.diversipes,Tetrapedia.diversipes.cer,7,2.11,ITD,6.766073433,1.911920924,cer,0.680651531,,6,13,,24,138,0.153804777,,
Hymenoptera,Apis.mellifera,Apis.mellifera.cer,27,3.3,ITD,10.58201058,2.359155444,cer,0.86750143,,1,8,,1,77,0.153804777,,
Hymenoptera,Anthidiellum.sp,Anthidiellum.sp.gsv,1,7.25,BL,8.898168231,2.185845439,gsv,0.872873545,,,,,114,105,0.153804777,,
Hymenoptera,Ceratina.sp,Ceratina.sp.gsv,1,7.35,BL,9.090370224,2.207215636,gsv,0.813763109,,,,,114,101,0.153804777,,
Hymenoptera,Augochlora.sp,Augochlora.sp.gsv,2,8,BL,10.3751337,2.339411953,gsv,0.730993608,,,,,86,85,0.153804777,,
Hymenoptera,Exomalopsis.sp,Exomalopsis.sp.gsv,1,8,BL,10.3751337,2.339411953,gsv,0.839584274,,,,,114,85,0.153804777,,
Hymenoptera,Augochloropsis.sp,Augochloropsis.sp.gsv,1,9,BL,12.46785196,2.523153488,gsv,0.919792137,,,,,114,60,0.153804777,,
Hymenoptera,Megachile.sp,Megachile.sp.gsv,1,22,BL,50.27507235,3.917509375,gsv,0.839584274,,,,,114,1,0.153804777,,
Hymenoptera,Apis.mellifera,Apis.mellifera.gsv,8,3.3,ITD,10.58201058,2.359155444,gsv,0.814354211,,,,,20,77,0.153804777,,
Hymenoptera,Andrena.pubescens,Andrena.pubescens.hnk,2,1.4,BL,0.684121214,-0.379620164,hnk,0.147452861,,,,,86,177,0.153804777,,
Hymenoptera,Cheilosia.albitarsis,Cheilosia.albitarsis.hnk,2,8.25,BL,10.88532705,2.38741574,hnk,0.597899283,,,,,86,75,0.153804777,,
Hymenoptera,Megachile.willughbiella,Megachile.willughbiella.hnk,1,15,BL,27.66149741,3.320041461,hnk,0.390251919,,,,,114,13,0.153804777,,
Hymenoptera,Lasioglossum.villosulum,Lasioglossum.villosulum.hnk,1,1.33,ITD,4.264870932,1.450411918,hnk,0.524308231,,,,,114,168,0.153804777,,
Hymenoptera,Lasioglossum.calceatum,Lasioglossum.calceatum.hnk,1,1.82,ITD,5.836139169,1.764069477,hnk,0.524308231,,,,,114,152,0.153804777,,
Hymenoptera,Lasioglossum.leucozonium,Lasioglossum.leucozonium.hnk,1,1.91,ITD,6.124739458,1.812336218,hnk,0.524308231,,,,,114,149,0.153804777,,
Hymenoptera,Andrena.wilkella,Andrena.wilkella.hnk,5,2.15,ITD,6.894340228,1.930700818,hnk,0.495312546,,,,,41,136,0.153804777,,
Hymenoptera,Andrena.haemorrhoa,Andrena.haemorrhoa.hnk,3,2.63,ITD,8.433541767,2.132216822,hnk,0.380158053,,,,,69,110,0.153804777,,
Hymenoptera,Bombus.pascuorum,Bombus.pascuorum.hnk,10,4.32,ITD,13.85281385,2.628488378,hnk,0.523445935,,,,,14,53,0.153804777,,
Hymenoptera,Bombus.pratorum,Bombus.pratorum.hnk,3,4.61,ITD,14.78274812,2.693460833,hnk,0.350103405,,,,,69,46,0.153804777,,
Hymenoptera,Bombus.lapidarius,Bombus.lapidarius.hnk,1,4.97,ITD,15.93714927,2.768652816,hnk,0.189007414,,,,,114,40,0.153804777,,
Hymenoptera,Bombus.hortorum,Bombus.hortorum.hnk,5,5.77,ITD,18.50248517,2.917905057,hnk,0.414007377,,,,,41,30,0.153804777,,
Hymenoptera,Bombus.terrestris,Bombus.terrestris.hnk,10,6.15,ITD,19.72101972,2.981685058,hnk,0.92049741,,,,,14,23,0.153804777,,
Diptera,Bombylius.major,Bombylius.major.nca,9,16,BL,0.364726015,-1.008608851,nca,0.808496561,,,,,18,179,0.153804777,,
Hymenoptera,Dialictus.abanci,Dialictus.abanci.nca,6,6,BL,6.623526416,1.890627919,nca,0.448238158,,,,,31,140,0.153804777,,
Hymenoptera,Dialictus.cressonii,Dialictus.cressonii.nca,3,6.5,BL,7.504437734,2.015494543,nca,0.397797899,,,,,69,130,0.153804777,,
Hymenoptera,Nomada.sayi,Nomada.sayi.nca,1,6.75,BL,7.959526037,2.074369455,nca,0.371234215,,,,,114,122,0.153804777,,
Hymenoptera,Lasioglossum.fuscipenne,Lasioglossum.fuscipenne.nca,1,9,BL,12.46785196,2.523153488,nca,0.421745151,,,,,114,60,0.153804777,,
Hymenoptera,Osmia.conjucta,Osmia.conjucta.nca,6,9,BL,12.46785196,2.523153488,nca,0.422722762,,,,,31,60,0.153804777,,
Hymenoptera,Nomada.sp,Nomada.sp.nca,6,9.5,BL,13.56507335,2.607498353,nca,0.573074062,,,,,31,55,0.153804777,,
Hymenoptera,Osmia.sp,Osmia.sp.nca,5,10.5,BL,15.85727759,2.763628549,nca,0.379875441,,,,,41,42,0.153804777,,
Hymenoptera,Nomada.luteola,Nomada.luteola.nca,1,11.25,BL,17.65920943,2.871257428,nca,0.4850284,,,,,114,35,0.153804777,,
Hymenoptera,Osmia.simillima,Osmia.simillima.nca,1,11.5,BL,18.2751922,2.905544523,nca,0.618620634,,,,,114,32,0.153804777,,
Hymenoptera,Ceratina.calcarata,Ceratina.calcarata.nca,3,1.273809524,ITD,4.084686625,1.407245012,nca,0.365271874,,,,,69,171,0.153804777,,
