Order,Taxa,,Degree,Size,SizeType,Mass,lnMass,Code,Bluthgen,,Rank1,Rank2,Spearman,RankDegree,RanklnMass,Spearman,Pearson,
Hymenoptera,Andrena.erigeniae,Andrena.erigeniae.nca,4,1.3,ITD,4.168670835,1.42759724,nca,0.771558872,,,,,57,170,0.153804777,,
Hymenoptera,Nomada.pygmaea,Nomada.pygmaea.nca,3,1.456666667,ITD,4.671049117,1.541383697,nca,0.406235392,,,,,69,165,0.153804777,,
Hymenoptera,Augochlora.pura,Augochlora.pura.nca,4,1.595,ITD,5.114638448,1.632106712,nca,0.408645536,,,,,57,161,0.153804777,,
Hymenoptera,Andrena.nasonii,Andrena.nasonii.nca,3,1.8,ITD,5.772005772,1.753019641,nca,0.465699285,,,,,69,154,0.153804777,,
Hymenoptera,Andrena.imitatrix,Andrena.imitatrix.nca,1,1.9,ITD,6.092672759,1.807086862,nca,0.198034427,,,,,114,150,0.153804777,,
Hymenoptera,Osmia.atriventris,Osmia.atriventris.nca,2,1.922,ITD,6.163219497,1.818599287,nca,0.59900969,,,,,86,148,0.153804777,,
Hymenoptera,Andrena.tridens,Andrena.tridens.nca,5,2.39,ITD,7.663940997,2.036526342,nca,0.65748708,,,,,41,129,0.153804777,,
Hymenoptera,Andrena.dunningi,Andrena.dunningi.nca,1,2.4375,ITD,7.816257816,2.0562059,nca,0.421745151,,,,,114,127,0.153804777,,
Hymenoptera,Andrena.nigrihirta,Andrena.nigrihirta.nca,6,2.45,ITD,7.85634119,2.061321001,nca,0.830206191,,,,,31,126,0.153804777,,
Hymenoptera,Andrena.ceanothi,Andrena.ceanothi.nca,1,2.583333333,ITD,8.283897172,2.114313531,nca,0.198034427,,,,,114,119,0.153804777,,
Hymenoptera,Andrena.carlini,Andrena.carlini.nca,7,2.696428571,ITD,8.646556264,2.157161122,nca,0.482624084,,,,,24,107,0.153804777,,
Hymenoptera,Apis.mellifera,Apis.mellifera.nca,6,3.3,ITD,10.58201058,2.359155444,nca,0.649695198,,,,,31,77,0.153804777,,
Hymenoptera,Osmia.lignaria,Osmia.lignaria.nca,3,3.4,ITD,10.90267757,2.389008408,nca,0.368436199,,,,,69,73,0.153804777,,
Hymenoptera,Bombus.bimaculatus,Bombus.bimaculatus.nca,7,3.7375,ITD,11.98492865,2.483649915,nca,0.877625522,,,,,24,64,0.153804777,,
Hymenoptera,Xylocopa.virginica,Xylocopa.virginica.nca,6,6.068666667,ITD,19.46021057,2.968371897,nca,0.479655681,,,,,31,28,0.153804777,,
Hymenoptera,Dialictus.pilosus,Dialictus.pilosus.otw,3,6,BL,6.623526416,1.890627919,otw,0.676623664,,,,,69,140,0.153804777,,
Hymenoptera,Andrena.carolina,Andrena.carolina.otw,4,1.7,ITD,5.451338785,1.695861227,otw,0.553670899,,,,,57,158,0.153804777,,
Hymenoptera,Andrena.bradleyi,Andrena.bradleyi.otw,5,2.033333333,ITD,6.520228741,1.874909458,otw,0.70665276,,,,,41,145,0.153804777,,
Hymenoptera,Andrena.mandibularis,Andrena.mandibularis.otw,6,2.18,ITD,6.990540324,1.944557853,otw,0.680971448,,,,,31,135,0.153804777,,
Hymenoptera,Andrena.vicina,Andrena.vicina.otw,8,2.48125,ITD,7.956549623,2.073995441,otw,0.673209198,,,,,20,124,0.153804777,,
Hymenoptera,Andrena.regularis,Andrena.regularis.otw,7,2.6,ITD,8.337341671,2.120744421,otw,0.673377865,,,,,24,117,0.153804777,,
Hymenoptera,Andrena.carlini,Andrena.carlini.otw,5,2.696428571,ITD,8.646556264,2.157161122,otw,0.551798542,,,,,41,107,0.153804777,,
Hymenoptera,Colletes.inaequalis,Colletes.inaequalis.otw,5,2.862666667,ITD,9.179626958,2.216986567,otw,0.751040182,,,,,41,99,0.153804777,,
Hymenoptera,Bombus.terricola,Bombus.terricola.otw,5,3.1875,ITD,10.22126022,2.324469886,otw,0.728386697,,,,,41,93,0.153804777,,
Hymenoptera,Apis.mellifera,Apis.mellifera.otw,5,3.3,ITD,10.58201058,2.359155444,otw,0.670144472,,,,,41,77,0.153804777,,
Coleoptera,Cortodera.longicornis,Cortodera.longicornis.ppc,5,11,BL,0.114476163,-2.167388661,ppc,0.553203945,,,,,41,191,0.153804777,,
Diptera,Anthrax.lateralis,Anthrax.lateralis.ppc,1,10,BL,0.126082723,-2.070817056,ppc,0.522426637,,,,,114,189,0.153804777,,
Diptera,Anthrax.fulviana,Anthrax.fulviana.ppc,1,11,BL,0.156387864,-1.85541605,ppc,0.642318519,,,,,114,187,0.153804777,,
Diptera,Anthrax.tegminipennis,Anthrax.tegminipennis.ppc,1,11.5,BL,0.172915012,-1.754955065,ppc,0.642318519,,,,,114,185,0.153804777,,
Diptera,Anthrax.alternata,Anthrax.alternata.ppc,1,12.5,BL,0.20877198,-1.566512627,ppc,0.67215334,,,,,114,183,0.153804777,,
Diptera,Anthrax.hypomelas,Anthrax.hypomelas.ppc,2,14,BL,0.269714901,-1.3103898,ppc,0.803611759,,,,,86,181,0.153804777,,
Hymenoptera,Dolichovespula.arctica,Dolichovespula.arctica.ppc,2,1.5,BL,0.761860901,-0.271991285,ppc,0.631762652,,,,,86,176,0.153804777,,
Hymenoptera,Prosopis.elliptica,Prosopis.elliptica.ppc,13,5,BL,4.983867972,1.606206291,ppc,0.585507286,,,,,8,163,0.153804777,,
Hymenoptera,Panurginus.sp,Panurginus.sp.ppc,5,7,BL,8.424153361,2.13110298,ppc,0.633798873,,,,,41,111,0.153804777,,
Hymenoptera,Ceratina.sp,Ceratina.sp.ppc,3,7.35,BL,9.090370224,2.207215636,ppc,0.617100694,,,,,69,101,0.153804777,,
Hymenoptera,Andrena.sp,Andrena.sp.ppc,3,8,BL,10.3751337,2.339411953,ppc,0.628297452,,,,,69,85,0.153804777,,
Hymenoptera,Osmia.melanotricha,Osmia.melanotricha.ppc,6,8,BL,10.3751337,2.339411953,ppc,0.625222982,,,,,31,85,0.153804777,,
Hymenoptera,Prosopis.basalis,Prosopis.basalis.ppc,7,8.5,BL,11.40425307,2.433986362,ppc,0.56738265,,,,,24,69,0.153804777,,
Hymenoptera,Halictus.sp,Halictus.sp.ppc,22,9.25,BL,13.01231072,2.565895888,ppc,0.648387105,,,,,2,59,0.153804777,,
Hymenoptera,Nomada.sp,Nomada.sp.ppc,2,9.5,BL,13.56507335,2.607498353,ppc,0.651161521,,,,,86,55,0.153804777,,
Hymenoptera,Osmia.wardiana,Osmia.wardiana.ppc,1,10,BL,14.69512627,2.687515893,ppc,0.554478297,,,,,114,48,0.153804777,,
Hymenoptera,Bombus.dorsalis,Bombus.dorsalis.ppc,1,10.5,BL,15.85727759,2.763628549,ppc,0.745747089,,,,,114,42,0.153804777,,
Hymenoptera,Osmia.propinqua,Osmia.propinqua.ppc,5,10.5,BL,15.85727759,2.763628549,ppc,0.574398441,,,,,41,42,0.153804777,,
Hymenoptera,Osmia.sp,Osmia.sp.ppc,3,10.5,BL,15.85727759,2.763628549,ppc,0.638837539,,,,,69,42,0.153804777,,
Hymenoptera,Bombus.bifarius,Bombus.bifarius.ppc,21,11,BL,17.05084518,2.836199773,ppc,0.608585874,,,,,4,37,0.153804777,,
Hymenoptera,Bombus.centralis,Bombus.centralis.ppc,5,11,BL,17.05084518,2.836199773,ppc,0.581934725,,,,,41,37,0.153804777,,
Hymenoptera,Osmia.coloradella,Osmia.coloradella.ppc,2,11,BL,17.05084518,2.836199773,ppc,0.572173603,,,,,86,37,0.153804777,,
Hymenoptera,Colletes.sp,Colletes.sp.ppc,1,11.5,BL,18.2751922,2.905544523,ppc,0.610351725,,,,,114,32,0.153804777,,
Hymenoptera,Bombus.rufocinctus,Bombus.rufocinctus.ppc,12,11.75,BL,18.89872015,2.939094203,ppc,0.59439338,,,,,11,29,0.153804777,,
Hymenoptera,Andrena.edwiniae,Andrena.edwiniae.ppc,2,12,BL,19.52972221,2.971937521,ppc,0.642759362,,,,,86,25,0.153804777,,
Hymenoptera,Monumetha.albifrons,Monumetha.albifrons.ppc,13,12,BL,19.52972221,2.971937521,ppc,0.585224321,,,,,8,25,0.153804777,,
Hymenoptera,Monumetha.argentifrons,Monumetha.argentifrons.ppc,1,12,BL,19.52972221,2.971937521,ppc,0.554478297,,,,,114,25,0.153804777,,
Hymenoptera,Melissodes.sp,Melissodes.sp.ppc,1,12.25,BL,20.16812946,3.004103609,ppc,0.522426637,,,,,114,22,0.153804777,,
Hymenoptera,Melissodes.aurigenia,Melissodes.aurigenia.ppc,1,12.75,BL,21.46689393,3.066511931,ppc,0.554478297,,,,,114,21,0.153804777,,
Hymenoptera,Megachile.wootoni,Megachile.wootoni.ppc,13,13,BL,22.12712309,3.096804145,ppc,0.594786842,,,,,8,19,0.153804777,,
Hymenoptera,Vespa.germanica,Vespa.germanica.ppc,7,13,BL,22.12712309,3.096804145,ppc,0.613385569,,,,,24,19,0.153804777,,
Hymenoptera,Megachile.vidua,Megachile.vidua.ppc,1,13.5,BL,23.46896844,3.155679057,ppc,0.554478297,,,,,114,17,0.153804777,,
Hymenoptera,Bombus.flavifrons,Bombus.flavifrons.ppc,16,14.5,BL,26.23659103,3.267155041,ppc,0.634847287,,,,,6,15,0.153804777,,
Hymenoptera,Anthophora.occidentalis,Anthophora.occidentalis.ppc,1,15,BL,27.66149741,3.320041461,ppc,0.554478297,,,,,114,13,0.153804777,,
Hymenoptera,Anthophora.simillima,Anthophora.simillima.ppc,11,15.5,BL,29.11325547,3.371193585,ppc,0.705814601,,,,,12,11,0.153804777,,
Hymenoptera,Osmia.megacephala,Osmia.megacephala.ppc,1,15.5,BL,29.11325547,3.371193585,ppc,0.745747089,,,,,114,11,0.153804777,,
Hymenoptera,Psithyrus.fernaldae,Psithyrus.fernaldae.ppc,1,15.75,BL,29.84908294,3.396154117,ppc,0.614412334,,,,,114,10,0.153804777,,
Hymenoptera,Bombus.americanorum,Bombus.americanorum.ppc,3,16,BL,30.59148047,3.420721554,ppc,0.695796989,,,,,69,9,0.153804777,,
Hymenoptera,Bombus.nevadensis,Bombus.nevadensis.ppc,5,17,BL,33.62587851,3.515295964,ppc,0.658511213,,,,,41,8,0.153804777,,
Hymenoptera,Psithyrus.ashtoni,Psithyrus.ashtoni.ppc,1,17.5,BL,35.18136439,3.560516522,ppc,0.554478297,,,,,114,7,0.153804777,,
Hymenoptera,Megachile.sp,Megachile.sp.ppc,2,22,BL,50.27507235,3.917509375,ppc,0.793928323,,,,,86,1,0.153804777,,
Hymenoptera,Andrena.imitatrix,Andrena.imitatrix.ppc,1,1.9,ITD,6.092672759,1.807086862,ppc,0.722526382,,,,,114,150,0.153804777,,
Hymenoptera,Andrena.canadensis,Andrena.canadensis.ppc,2,1.983333333,ITD,6.359895248,1.850011907,ppc,0.540844181,,,,,86,146,0.153804777,,
Hymenoptera,Andrena.crataegi,Andrena.crataegi.ppc,9,2.2,ITD,7.054673721,1.953690336,ppc,0.607857288,,,,,18,134,0.153804777,,
Hymenoptera,Coelioxys.modesta,Coelioxys.modesta.ppc,2,2.43,ITD,7.792207792,2.053124233,ppc,0.532770537,,,,,86,128,0.153804777,,
Hymenoptera,Andrena.vicina,Andrena.vicina.ppc,10,2.48125,ITD,7.956549623,2.073995441,ppc,0.600527342,,,,,14,124,0.153804777,,
Hymenoptera,Andrena.prunorum,Andrena.prunorum.ppc,4,2.6,ITD,8.337341671,2.120744421,ppc,0.595242358,,,,,57,117,0.153804777,,
Hymenoptera,Colletes.kincaidii,Colletes.kincaidii.ppc,4,2.625,ITD,8.417508418,2.130313872,ppc,0.585381055,,,,,57,115,0.153804777,,
Hymenoptera,Colletes.americanus,Colletes.americanus.ppc,2,2.8125,ITD,9.018759019,2.199306744,ppc,0.608669416,,,,,86,104,0.153804777,,
Hymenoptera,Megachile.relativa,Megachile.relativa.ppc,4,2.984375,ITD,9.569905403,2.258623321,ppc,0.566699501,,,,,57,97,0.153804777,,
Hymenoptera,Andrena.braccata,Andrena.braccata.ppc,1,3.0375,ITD,9.74025974,2.276267785,ppc,0.528165771,,,,,114,96,0.153804777,,
Hymenoptera,Megachile.gemula,Megachile.gemula.ppc,1,3.225,ITD,10.34151034,2.336165926,ppc,0.554478297,,,,,114,92,0.153804777,,
Hymenoptera,Apis.mellifera,Apis.mellifera.ppc,22,3.3,ITD,10.58201058,2.359155444,ppc,0.673310635,,,,,2,77,0.153804777,,
Hymenoptera,Megachile.texana,Megachile.texana.ppc,2,3.340833333,ITD,10.7129496,2.371453253,ppc,0.541358271,,,,,86,76,0.153804777,,
Hymenoptera,Megachile.pugnata,Megachile.pugnata.ppc,5,3.53125,ITD,11.32355299,2.426884892,ppc,0.59378455,,,,,41,72,0.153804777,,
Hymenoptera,Bombus.fervidus,Bombus.fervidus.ppc,6,3.627,ITD,11.63059163,2.453638836,ppc,0.667521391,,,,,31,68,0.153804777,,
Hymenoptera,Anthophora.bomboides,Anthophora.bomboides.ppc,1,3.7,ITD,11.86467853,2.473565796,ppc,0.549656121,,,,,114,65,0.153804777,,
Hymenoptera,Anthophora.neomexicana,Anthophora.neomexicana.ppc,1,3.7,ITD,11.86467853,2.473565796,ppc,0.576069182,,,,,114,65,0.153804777,,
Hymenoptera,Epicharis.sp,Epicharis.sp.pqn,4,20,BL,43.3291446,3.768825494,pqn,0.283560365,,,,,57,6,0.153804777,,
Hymenoptera,Centris.sp,Centris.sp.pqn,2,20.5,BL,45.03076711,3.80734597,pqn,0.356348306,,,,,86,5,0.153804777,,
Hymenoptera,Xylocopa.sp,Xylocopa.sp.pqn,2,21.5,BL,48.50397368,3.881645726,pqn,0.334739984,,,,,86,4,0.153804777,,
Hymenoptera,Apis.mellifera,Apis.mellifera.pqn,4,3.3,ITD,10.58201058,2.359155444,pqn,0.272161667,,,,,57,77,0.153804777,,
Diptera,Volucella.bombylans,Volucella.bombylans.snk,1,14,BL,0.269714901,-1.3103898,snk,0.137105904,,,,,114,181,0.153804777,,
Hymenoptera,Andrena.pubescens,Andrena.pubescens.snk,1,1.4,BL,0.684121214,-0.379620164,snk,0.524308231,,,,,114,177,0.153804777,,
Hymenoptera,Lasioglossum.villosulum,Lasioglossum.villosulum.snk,1,1.33,ITD,4.264870932,1.450411918,snk,0.524308231,,,,,114,168,0.153804777,,
Hymenoptera,Lasioglossum.calceatum,Lasioglossum.calceatum.snk,1,1.82,ITD,5.836139169,1.764069477,snk,0.524308231,,,,,114,152,0.153804777,,
Hymenoptera,Apis.mellifera,Apis.mellifera.snk,1,3.3,ITD,10.58201058,2.359155444,snk,0.477134005,,,,,114,77,0.153804777,,
Hymenoptera,Bombus.pascuorum,Bombus.pascuorum.snk,7,4.32,ITD,13.85281385,2.628488378,snk,0.525081777,,,,,24,53,0.153804777,,
Hymenoptera,Anthophora.plumipes,Anthophora.plumipes.snk,1,4.33,ITD,13.88488055,2.630800518,snk,0.943004148,,,,,114,52,0.153804777,,
Hymenoptera,Bombus.pratorum,Bombus.pratorum.snk,3,4.61,ITD,14.78274812,2.693460833,snk,0.426598228,,,,,69,46,0.153804777,,
Hymenoptera,Bombus.lapidarius,Bombus.lapidarius.snk,10,4.97,ITD,15.93714927,2.768652816,snk,0.821078489,,,,,14,40,0.153804777,,
Hymenoptera,Bombus.hortorum,Bombus.hortorum.snk,1,5.77,ITD,18.50248517,2.917905057,snk,0.236608076,,,,,114,30,0.153804777,,
Hymenoptera,Bombus.terrestris,Bombus.terrestris.snk,3,6.15,ITD,19.72101972,2.981685058,snk,0.363472649,,,,,69,23,0.153804777,,
