SystemCode,Diff,Mean,Obs,SE
bbg,-0.189111624,0.000888376,-0.19,0.4284
bfi,0.396203288,-0.003796712,0.4,0.1879
bwk,-0.004994643,-0.000994643,-0.004,0.2295
cer,-0.036283813,0.003716187,-0.04,0.415
gsv,-0.009764601,0.000235399,-0.01,0.2599
hnk,0.249923407,-7.66E-05,0.25,0.2824
hum.1,-0.23143075,-0.01143075,-0.22,0.4315
hum.2,-0.985221309,0.004778691,-0.99,0.4315
nca,0.103095613,0.003095613,0.1,0.3125
otw,0.410258859,0.000258859,0.41,0.2362
ppc,0.160558143,0.000558143,0.16,0.4045
snk,0.168549761,0.008549761,0.16,0.2929
tun,-0.092986097,-0.002986097,-0.09,0.3254